"id","version_id:id","model_id:id","external_list_method","external_get_method","external_update_method","external_create_method","external_delete_method","external_key_name","external_resource_name"
"prestashop_1500_sale_group","prestashop1500","base_sale_multichannels.model_external_shop_group",,,,,,,"shop_groups"
"prestashop_1500_sale_shop","prestashop1500","sale.model_sale_shop",,,,,,,"shops"
"prestashop_1500_order","prestashop1500","sale.model_sale_order",,,,,,,"orders"
"prestashop_1500_order_line","prestashop1500","sale.model_sale_order_line",,,,,,,"order_details"
"prestashop_1500_product_categ","prestashop1500","product.model_product_category",,,,,,,"categories"
"prestashop_1500_product","prestashop1500","product.model_product_product",,,,,,,"products"
"prestashop_1500_partner_categ","prestashop1500","base.model_res_partner_category",,,,,,,"groups"
"prestashop_1500_partner_address","prestashop1500","base.model_res_partner_address",,,,,,,"addresses"
"prestashop_1500_partner","prestashop1500","base.model_res_partner",,,,,,,"customers"
"prestashop_1500_lang","prestashop1500","base.model_res_lang",,,,,,,"languages"
"prestashop_1500_country","prestashop1500","base.model_res_country",,,,,,,"countries"
